producto,marca,descripcion,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Vino blanco Toro en botella 750 cc.,Toro,,https://www.carrefour.com.ar/vino-blanco-toro-en-botella-750-cc-709481/p,https://carrefourar.vtexassets.com/arquivos/ids/262983/7790314003233_02.jpg?v=1771435210,709481,108216,492.0,492.0
Vino tinto cabernet Cafayate 750 cc.,Cafayate,,https://www.carrefour.com.ar/vino-tinto-cabernet-cafayate-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/227562/7790093521775_01.jpg?v=1771450170,670539,28067,849.0,849.0
Vino blanco dulce torrontés Elementos 750 cc.,Elementos,,https://www.carrefour.com.ar/vino-blanco-dulce-torrontes-elementos-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/185743/7798136300387_01.jpg?v=1771413912,542426,12860,1030.0,1030.0
Cerveza ipa Kunstmann lata 473 cc.,Bárbara,,https://www.carrefour.com.ar/cerveza-ipa-kunstmann-lata-473-cc-659865/p,https://carrefourar.vtexassets.com/arquivos/ids/268810/7802107000876_01.jpg?v=1771455096,659865,90391,577.0,577.0
Vino tinto syrah Elementos 750 cc.,Elementos,,https://www.carrefour.com.ar/vino-tinto-syrah-elementos-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/184171/7790189021035_01.jpg?v=1771453690,356132,12044,1080.0,1080.0
Vino tinto syrah Alma Mora 750 cc.,Alma Mora,,https://www.carrefour.com.ar/vino-tinto-syrah-alma-mora-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/185282/7790240042092_01.jpg?v=1771455829,411443,11245,1230.0,1230.0
Bebida energizante tropical Red Bull lata 250 cc.,Red Bull,,https://www.carrefour.com.ar/bebida-energizante-tropical-red-bull-lata-250-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/277306/9002490248949_E01.jpg?v=1771444524,673800,43067,336.0,336.0
Jugo Hi-C naranja 2.25 l.,Hi-C,El sabor que te gusta a un precio que te encanta,https://www.carrefour.com.ar/jugo-hi-c-naranja-225-l/p,https://carrefourar.vtexassets.com/arquivos/ids/327664/7790895643507_E01.jpg?v=1771415932,636024,6902,310.0,310.0
Vino tinto Eugenio Bustos malbec leyenda 750 cc.,La Celia,,https://www.carrefour.com.ar/vino-tinto-eugenio-bustos-malbec-leyenda-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/261355/7798141877386_01.jpg?v=1771433123,612014,6414,1175.0,1175.0
Vino tinto Eugenio Bustos malbec 750 cc.,La Celia,,https://www.carrefour.com.ar/vino-tinto-eugenio-bustos-malbec-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/261202/7798141877362_01.jpg?v=1771442543,611892,5394,938.0,938.0
