producto|marca|descripcion|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
Aceite de girasol Carrefour alto omega pet 900 cc.|Carrefour||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-carrefour-alto-omega-pet-900-cc-699030-699030/p|699030|93891|541.0|541.0
Lentejas secas remojadas Carrefour 340 g.|Carrefour||Almacen|https://www.carrefour.com.ar/lentejas-secas-remojadas-carrefour-340-g/p|623148|21307|209.0|209.0
Aceite en aerosol Fritolim girasol 120 g.|Cocinero||Almacen|https://www.carrefour.com.ar/aceite-en-aerosol-fritolim-girasol-120-g-19863/p|568661|19863|397.6|397.6
Mayonesa Natura 950 g.|Natura||Almacen|https://www.carrefour.com.ar/mayonesa-natura-950-g/p|41845|3568|609.0|609.0
Fideos tirabuzones Terrabusi 500 g.|Terrabusi||Almacen|https://www.carrefour.com.ar/fideos-tirabuzones-terrabusi-500-g/p|526465|19246|175.5|175.5
Aceite de oliva Carrefour extra virgen 500 cc.|Carrefour|&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_aceite_oliva.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;|Almacen|https://www.carrefour.com.ar/aceite-de-oliva-carrefour-extra-virgen-500-cc/p|317855|4069|1524.0|1524.0
Fideos fettuccini Don Vicente 500 g.|Don Vicente||Almacen|https://www.carrefour.com.ar/fideos-fettuccini-don-vicente-500-g-21432/p|551568|21432|420.08|420.08
Fideos coditos rayados Matarazzo 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-coditos-rayados-matarazzo-500-g/p|568966|4326|225.0|225.0
Harina 0000 Chacabuco 1 kg.|Chacabuco||Almacen|https://www.carrefour.com.ar/harina-0000-chacabuco-1-kg/p|689906|83406|194.0|194.0
Garbanzos secos remojados Carrefour 340 g.|Carrefour||Almacen|https://www.carrefour.com.ar/garbanzos-secos-remojados-carrefour-340-g/p|623147|15137|229.0|229.0
Palmitos en trozos Carrefour lata 400 g.|Carrefour||Almacen|https://www.carrefour.com.ar/palmitos-en-trozos-carrefour-lata-400-g/p|490209|27681|534.54|534.54
