producto,marca,descripcion,rubro,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Polenta instantánea Presto Pronta bolsa 730 g.,Presto Pronta,,Almacen,https://www.carrefour.com.ar/polenta-instantanea-presto-pronta-bolsa-730-g-697807/p,https://carrefourar.vtexassets.com/arquivos/ids/241736/7790580138721_02.jpg?v=1771607080,697807,91680,371.83,371.83
Fideos coditos Lucchetti 500 g.,Lucchetti,,Almacen,https://www.carrefour.com.ar/fideos-coditos-lucchetti-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175366/7790070318343_01.jpg?v=1771608401,571168,17904,235.5,235.5
Puré de tomate Arcor tetra 530 g.,Silk,,Almacen,https://www.carrefour.com.ar/pure-de-tomate-arcor-tetra-530-g-702054/p,https://carrefourar.vtexassets.com/arquivos/ids/250060/7790580138844_02.jpg?v=1771608249,702054,98098,174.05,174.05
Fideos spaghetti Matarazzo 500 g.,Matarazzo,,Almacen,https://www.carrefour.com.ar/fideos-spaghetti-matarazzo-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178736/7790070318640_01.jpg?v=1771606821,568965,4250,267.0,267.0
Mostaza Savora original doy pack 250 g.,Savora,"&quot;SAVORA Original: La que ya conoces, la de siempre, la infaltable, el clásico de la familia SAVORA.
 SAVORA original es la mostaza que eligen los argentinos desde 1938, la que está en todas las heladeras, tiene un sabor único gracias a sus semillas de mostaza cultivadas sustentablemente y el equilibro justo de más de 10 especias que la hacen tan especial: Semilla de mostaza blanca, cúrcuma, canela, nuez-moscada, ají molido, comino, clavo de olor, orégano, tomillo, laurel, pimienta negra, pimienta blanca y coriandro. Savora mostaza contiene la consistencia ideal para acompañar en todas tus preparaciones.
SAVORA Original es el ingrediente ideal que te ayuda a transformar tus platos de todos los días en platos únicos, originales y riquísimos. Esta salsa de mostaza es mucho más que un aderezo. Con Savora podés hornear, wokear, salsear, robozar, podés aplicarlo a cualquier tipo de preparación para darle un sabor único. Podés crear preparaciones deliciosas con todo lo que se te ocurra. Te va a ayudar a darle a tus preparaciones, tu toque, activa tu #ModoSavora y reinventa tus comidas.
SAVORA Original es el ingrediente ideal para todos tus platos ¡Que no te falte! Encontrá las mejores recetas en www.recepedia.com.ar y disfrutá de Savora en todo momento.&quot;",Almacen,https://www.carrefour.com.ar/mostaza-savora-original-doy-pack-250-g-709753/p,https://carrefourar.vtexassets.com/arquivos/ids/266149/7794000006478_E01.jpg?v=1771608974,709753,109148,227.88,227.88
Aceite en aerosol Carrefour girasol 120 cc.,Carrefour,,Almacen,https://www.carrefour.com.ar/aceite-en-aerosol-carrefour-girasol-120-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/167156/7798108340236_01.jpg?v=1771602192,304519,8627,481.0,481.0
Aceite de girasol Legitimo 1.5 lt.,Legitimo,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-legitimo-15-lt-700952/p,https://carrefourar.vtexassets.com/arquivos/ids/263189/7798316700815_02.jpg?v=1771608995,700952,97472,468.36,468.36
Kétchup Hellmanns doy pack 250 g.,Hellmanns,,Almacen,https://www.carrefour.com.ar/ketchup-hellmanns-doy-pack-250-g-700206/p,https://carrefourar.vtexassets.com/arquivos/ids/315042/7794000006188_E01.jpg?v=1771608154,700206,97379,322.0,322.0
Fideos spaghetti Lucchetti 500 g.,Lucchetti,,Almacen,https://www.carrefour.com.ar/fideos-spaghetti-lucchetti-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/178918/7790070318282_01.jpg?v=1771605253,571163,19870,211.5,211.5
Aceite de girasol Lira 900 cc.,Lira,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-lira-900-cc-17092/p,https://carrefourar.vtexassets.com/arquivos/ids/155427/7790070231468_02.jpg?v=1771606492,663521,17092,588.0,588.0
