producto,marca,descripcion,rubro,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Filet de palometa fresco x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/filet-de-palometa-fresco-x-kg-687167/p,https://carrefourar.vtexassets.com/arquivos/ids/273402/2506567000005_02.jpg?v=1771570012,687167,92455,546.0,1820.0
Pastrón el bierzo x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/pastron-el-bierzo-x-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/205537/2305663000007_02.jpg?v=1771579263,661980,50176,586.5,5865.0
Besugo entero fresco x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/besugo-entero-fresco-x-kg-687155/p,https://carrefourar.vtexassets.com/arquivos/ids/251644/2506555000000_02.jpg?v=1771569847,687155,98543,1420.0,1420.0
Calamar entero congelado a granel,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/calamar-entero-congelado-a-granel/p,https://carrefourar.vtexassets.com/arquivos/ids/204836/2307403000001_02.jpg?v=1771573068,340702,55875,180.0,1800.0
Filet de mero fresco x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/filet-de-mero-fresco-x-kg-687151/p,https://carrefourar.vtexassets.com/arquivos/ids/248302/2506551000004_02.jpg?v=1770873525,687151,92378,830.0,4150.0
Calamar entero congelado x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/calamar-entero-congelado-x-kg-687169/p,https://carrefourar.vtexassets.com/arquivos/ids/257620/2506569000003_02.jpg?v=1770873522,687169,106950,1180.0,1180.0
Anillas de calamar a granel,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/anillas-de-calamar-a-granel-697892/p,https://carrefourar.vtexassets.com/arquivos/ids/248353/2507256000009_02.jpg?v=1771134699,697892,91184,349.9,3499.0
Camaron pelado crudo x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/camaron-pelado-crudo-x-kg-705097/p,https://carrefourar.vtexassets.com/arquivos/ids/257623/2507628000002_02.jpg?v=1770873909,705097,106936,1625.0,6500.0
Langostino crudo entero x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/langostino-crudo-entero-x-kg-705102/p,https://carrefourar.vtexassets.com/arquivos/ids/257624/2507647000007_02.jpg?v=1770874349,705102,106935,261.0,2610.0
Cornalitos x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/cornalitos-x-kg-697886/p,https://carrefourar.vtexassets.com/arquivos/ids/274448/2507251000004_02.jpg?v=1771245642,697886,91179,600.0,1200.0
Sabalo fresco x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/sabalo-fresco-x-kg-687042/p,https://carrefourar.vtexassets.com/arquivos/ids/257552/2506526000008_02.jpg?v=1770873702,687042,98546,1390.0,1390.0
Bondiola El Bierzo al vacío x kg.,El Bierzo,,Carnes-y-pescados,https://www.carrefour.com.ar/bondiola-el-bierzo-al-vacio-x-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/205536/2305662000008_02.jpg?v=1771570298,661979,50091,679.5,6795.0
Corvina entera fresca x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/corvina-entera-fresca-x-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/205558/2310019000006_02.jpg?v=1770871937,52393,3652,1500.0,1500.0
Mero entero fresco x kg.,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/mero-entero-fresco-x-kg-687101/p,https://carrefourar.vtexassets.com/arquivos/ids/251639/2506537000004_02.jpg?v=1770895476,687101,98537,1495.0,2990.0
Salmón rosado entero x kg,Genérico,,Carnes-y-pescados,https://www.carrefour.com.ar/salmon-rosado-entero-x-kg-705167/p,https://carrefourar.vtexassets.com/arquivos/ids/310802/2507711000001_02.jpg?v=1770968606,705167,127079,6500.0,6500.0
Boga fresca x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/boga-fresca-x-kg-687156/p,https://carrefourar.vtexassets.com/arquivos/ids/257554/2506556000009_02.jpg?v=1770873691,687156,98533,1400.0,1400.0
Bonito fresco x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/bonito-fresco-x-kg-687172/p,https://carrefourar.vtexassets.com/arquivos/ids/257621/2506572000007_02.jpg?v=1770873906,687172,106925,1920.0,1920.0
Filet de truchón x kg.,Berardi,,Carnes-y-pescados,https://www.carrefour.com.ar/filet-de-truchon-x-kg-705136/p,https://carrefourar.vtexassets.com/arquivos/ids/257633/2507678000007_02.jpg?v=1770873777,705136,106958,3750.0,7500.0
Azúcar Ledesma molida superior bolsa 1 kg.,Ledesma,,Desayuno-y-merienda,https://www.carrefour.com.ar/azucar-ledesma-molida-superior-bolsa-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/237222/7792540250450_02.jpg?v=1771609134,596906,73256,342.5,342.5
Galletitas Mediatarde clásicas 105 g. x 3 uni,Mediatarde,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-mediatarde-clasicas-105-g-x-3-uni-697573/p,https://carrefourar.vtexassets.com/arquivos/ids/318965/7790040133693_E01.jpg?v=1771609024,697573,91435,266.99,266.99
Azúcar común Azucel tipo A bolsa 1 kg.,Azucel,,Desayuno-y-merienda,https://www.carrefour.com.ar/azucar-comun-azucel-tipo-a-bolsa-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/205393/7798174970016_02.jpg?v=1771607546,579168,18915,473.0,473.0
Galletitas Traviata clasicas x5 101 g.,Traviata,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-traviata-clasicas-x5-101-g-701780/p,https://carrefourar.vtexassets.com/arquivos/ids/318922/7790040139008_E01.jpg?v=1771608879,701780,97751,489.09,489.09
Mermelada BC La Campagnola durazno 390 g.,La Campagnola,,Desayuno-y-merienda,https://www.carrefour.com.ar/mermelada-bc-la-campagnola-durazno-390-g/p,https://carrefourar.vtexassets.com/arquivos/ids/226410/7793360131516_02.jpg?v=1771609200,688359,82593,443.23,443.23
Galletitas Chocolinas chocolate 262 g.,Chocolinas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-chocolinas-chocolate-262-g-708526/p,https://carrefourar.vtexassets.com/arquivos/ids/318952/7790040139404_E01.jpg?v=1771608886,708526,107157,352.23,352.23
Galletitas pepas Carrefour 300 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pepas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-pepas-carrefour-300-g/p,https://carrefourar.vtexassets.com/arquivos/ids/324619/7798033336410_E02.jpg?v=1771606821,154789,15960,220.74,220.74
Bizcochos Don Satur salados 200 g.,Don Satur,,Desayuno-y-merienda,https://www.carrefour.com.ar/bizcochos-don-satur-salados-200-g/p,https://carrefourar.vtexassets.com/arquivos/ids/197159/7795735000328_11.jpg?v=1771609205,515325,22441,202.2,202.2
Galletitas Chocolinas chocolate 150 g.,Chocolinas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-chocolinas-chocolate-150-g-708527/p,https://carrefourar.vtexassets.com/arquivos/ids/318999/7790040139398_E01.jpg?v=1771603570,708527,107169,325.0,325.0
Galletitas dulce Oreo rellenas con crema 354 g.,Oreo,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-dulce-oreo-rellenas-con-crema-354-g-715951/p,https://carrefourar.vtexassets.com/arquivos/ids/314563/7622201735258_E01.jpg?v=1771609024,715951,126397,814.0,814.0
Bizcochos Don Satur dulces 200 g.,Don Satur,,Desayuno-y-merienda,https://www.carrefour.com.ar/bizcochos-don-satur-dulces-200-g/p,https://carrefourar.vtexassets.com/arquivos/ids/171127/7795735000335_02.jpg?v=1771608388,515415,22019,202.2,202.2
Galletitas pepas Carrefour 500 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pepas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-pepas-carrefour-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/324620/7798152229211_E02.jpg?v=1771609159,491240,20839,348.0,348.0
Galletitas chocolate rell vaini Macucas 110 g.,Macucas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-chocolate-rell-vaini-macucas-110-g/p,https://carrefourar.vtexassets.com/arquivos/ids/318950/7790040133495_E01.jpg?v=1771609132,675043,40593,122.13,122.13
Yerba mate Playadito suave con palo 1 kg.,Playadito,Yerba mate Playadito suave con palo 1 kg.,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-playadito-suave-con-palo-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/207097/7793704000928_03.jpg?v=1771608148,669429,25341,1272.0,1272.0
Galletitas Diversión surtido en bolsa 398 g.,Diversión,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-diversion-surtido-en-bolsa-398-g-701776/p,https://carrefourar.vtexassets.com/arquivos/ids/318931/7790040138902_E01.jpg?v=1771609024,701776,97715,439.0,439.0
Yerba mate Mañanita bajo polvo 4flex 1 kg.,Mañanita,,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-mananita-bajo-polvo-4flex-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/183639/7790387015317_02.jpg?v=1771607242,668363,35002,1150.0,1150.0
Galletitas Bagley surtido seleccionada 398 g.,Bagley,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-bagley-surtido-seleccionada-398-g-701778/p,https://carrefourar.vtexassets.com/arquivos/ids/318906/7790040138896_E01.jpg?v=1771609578,701778,97602,431.84,431.84
Vainillas Carrefour flow pack 444 g.,Carrefour,,Desayuno-y-merienda,https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-444-g-700137/p,https://carrefourar.vtexassets.com/arquivos/ids/248009/7791720026557_01.jpg?v=1771609126,700137,94193,710.0,710.0
Alfajor Terrabusi Chocolate Clásico 6 uni 50 g.,Terrabusi,"Hay algo en lo que coincidimos todos: y es que el alfajor clásico de chocolate es la joyita de Terrabusi. Comprá online y disfrutá del más rico sabor a chocolate, combinado con el clásico dulce de leche para la vuelta del cole, para mirar una serie o para sorprender a un amigo, #TardesConTerra y un alfajor Terrabusi.
Por más meriendas para la historia.",Desayuno-y-merienda,https://www.carrefour.com.ar/alfajor-terrabusi-chocolate-clasico-6-uni-50-g/p,https://carrefourar.vtexassets.com/arquivos/ids/273371/7622300742584_E01.jpg?v=1771608397,521104,24417,810.0,810.0
Bizcochos de grasa 9 de Oro bolsa 215 g.,9 De Oro,,Desayuno-y-merienda,https://www.carrefour.com.ar/bizcochos-de-grasa-9-de-oro-bolsa-215-g/p,https://carrefourar.vtexassets.com/arquivos/ids/226083/7792180139719_02.jpg?v=1771609025,683618,63654,200.36,200.36
Cacao en polvo Nesquik doypack 360 g.,Nesquik,"Unidad de 360 gramos.                              Alimento en polvo a base de azúcar, cacao, fortificado con vitamina D y vitamina C Instantáneo. Libre de gluten.Sin T.A.C.C.                                                      Un vaso de NESQUIK ® Original aporta vitaminas y minerales para ayudar a mantener la fortaleza del sistema inmunológico y aumentar la absorción del calcio. Con su sabor único, hace la leche más rica y divertida, ayudando al crecimiento y buen desarrollo de los niños y las niñas. Además tiene OPTI-START™, un complejo de vitaminas y minerales que junto con el calcio y las proteínas de la leche, ayudan al crecimiento y buen desarrollo de los chicos.                                             Conservación del producto: el Nesquik debe ser almacenado correctamente para preservar sus caracterísitcas. La regla es cerrar, -bien cerrado!- inmediatamente después de su uso en un lugar seco y fresco, evitando cualquier tipo de humedad.                          Recomendaciones de uso:                                    -Evitar dejar el envase abierto, y antes de guardar, verifique que esté bien cerrado, manteniedose alejado de la humedad.              - Nunca coloque cucharas sucias o con residuos de otros alimentos dentro del envase.                                                                     - Si usó una cuchara para remover la leche con Nesquik, use otra cuchara limpia y seca si desea agregaar más producto.",Desayuno-y-merienda,https://www.carrefour.com.ar/cacao-en-polvo-nesquik-doypack-360-g-701788/p,https://carrefourar.vtexassets.com/arquivos/ids/275677/8445290194176_E01.jpg?v=1771607202,701788,97656,699.0,699.0
Tostadas light Carrefour 200 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_tostadas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/tostadas-light-carrefour-200-g/p,https://carrefourar.vtexassets.com/arquivos/ids/183303/7798159717483_01.jpg?v=1771606804,580638,15482,231.94,231.94
Galletitas salvado Hogareñas 200 g. x 3 uni,Hogareñas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-salvado-hogarenas-200-g-x-3-uni/p,https://carrefourar.vtexassets.com/arquivos/ids/319022/7790040132955_E01.jpg?v=1771609027,675035,42289,439.4,439.4
Galletitas Carrefour de hojaldre larguitas 150 g.,Carrefour,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-carrefour-de-hojaldre-larguitas-150-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175983/7798159717940_01.jpg?v=1771609511,590703,11339,205.52,205.52
Galletitas dulce anillos clásicos Terrabusi 170 g.,Terrabusi,"Lo que hace que una historia de merienda sea una merienda para la historia, es el amor y el tiempo compartido. Esos pequeños detalles que quedan grabados: el olor que sentís al abrir un paquete nuevo de galletitas Terrabusi, la ternura en la boca de saborear tus anillitos preferidos en un buen tazón de café con leche, las meriendas en la plaza o en el club con un jugo refrescante y galletitas o el tercer tiempo del partido con amigos. De una merienda improvisada, puede quedar una gran anécdota para la historia. ¡Por más Historias de Merienda!",Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-dulce-anillos-clasicos-terrabusi-170-g/p,https://carrefourar.vtexassets.com/arquivos/ids/272188/7622201808884_E01.jpg?v=1771609518,680264,53127,209.5,209.5
Café instantáneo Nescafé dolca suave doypack 170 g.,Nescafé,"Unidad de 170 gramos.

Nescafé DOLCA SUAVE - DOYPACK 170g
El típico gusto argentino en café. Ideal para batir y compartir momentos únicos con tu familia. El café de siempre, como a vos te gusta, y en su versión suave. 

Ingredientes: Café Soluble- LIBRE DE GLUTEN/ SIN T.A.C.C. 
Preparación: Agua segura a punto de hervir (150 ml) y 1,5 gr de Nescafe Dolca.
Origen: Fabricado en Argentina",Desayuno-y-merienda,https://www.carrefour.com.ar/cafe-instantaneo-nescafe-dolca-suave-doypack-170-g-687505/p,https://carrefourar.vtexassets.com/arquivos/ids/321319/7613287953384_01.jpg?v=1771599574,687505,81506,1005.0,1005.0
Yerba mate Taragüi con palo origen controlado 4flex 500 g.,Taragui,,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-taragui-con-palo-origen-controlado-4flex-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/183597/7790387013627_02.jpg?v=1771603091,668369,35069,588.0,588.0
Galletitas Cerealitas clásicas 621 g.,Cerealitas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-cerealitas-clasicas-621-g-697565/p,https://carrefourar.vtexassets.com/arquivos/ids/241694/7622201509255_01.jpg?v=1771608884,697565,91352,589.0,589.0
Cacao en polvo Nesquik doypack 800 g.,Nesquik,"Unidad de 800 gramos.                              Alimento en polvo a base de azúcar, cacao, fortificado con vitamina D y vitamina C Instantáneo. Libre de gluten. Sin T.A.C.C.                                                      Un vaso de NESQUIK ® Original aporta vitaminas y minerales para ayudar a mantener la fortaleza del sistema inmunológico y aumentar la absorción del calcio. Con su sabor único, hace la leche más rica y divertida, ayudando al crecimiento y buen desarrollo de los niños y las niñas. Además tiene OPTI-START™, un complejo de vitaminas y minerales que junto con el calcio y las proteínas de la leche, ayudan al crecimiento y buen desarrollo de los chicos.                                             Conservación del producto: el Nesquik debe ser almacenado correctamente para preservar sus caracterísitcas. La regla es cerrar, -bien cerrado!- inmediatamente después de su uso en un lugar seco y fresco, evitando cualquier tipo de humedad.                          Recomendaciones de uso:                                    -Evitar dejar el envase abierto, y antes de guardar, verifique que esté bien cerrado, manteniedose alejado de la humedad.                - Nunca coloque cucharas sucias o con residuos de otros alimentos dentro del envase.                                                                     - Si usó una cuchara para remover la leche con Nesquik, use otra cuchara limpia y seca si desea agregaar más producto.",Desayuno-y-merienda,https://www.carrefour.com.ar/cacao-en-polvo-nesquik-doypack-800-g-701786/p,https://carrefourar.vtexassets.com/arquivos/ids/275726/8445290194190_E01.jpg?v=1771609685,701786,101072,1365.0,1365.0
Bizcochos agridulces 9 de Oro bolsa 215 g.,9 De Oro,,Desayuno-y-merienda,https://www.carrefour.com.ar/bizcochos-agridulces-9-de-oro-bolsa-215-g/p,https://carrefourar.vtexassets.com/arquivos/ids/208516/7792180139726_02.jpg?v=1771609036,684238,71339,200.36,200.36
Galletitas Carrefour azucaradas limón 250 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_galletitas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-carrefour-azucaradas-limon-250-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175937/7798141715558_01.jpg?v=1771606507,492523,21079,177.5,177.5
Yerba mate Nobleza Gaucha suave 1 kg.,Nobleza Gaucha,,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-nobleza-gaucha-suave-1-kg-694582/p,https://carrefourar.vtexassets.com/arquivos/ids/235832/7790070509116_02.jpg?v=1771608997,694582,87410,814.0,814.0
Vainillas Carrefour flow pack 148 g.,Carrefour,,Desayuno-y-merienda,https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-148-g-700136/p,https://carrefourar.vtexassets.com/arquivos/ids/248010/7791720026564_01.jpg?v=1771609529,700136,94203,247.0,247.0
Galletitas Carrefour multicereal con avena y chips 186 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_multicereal.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-carrefour-multicereal-con-avena-y-chips-186-g/p,https://carrefourar.vtexassets.com/arquivos/ids/321626/7791720024041_E02.jpg?v=1771600391,664916,24673,247.0,247.0
Café molido clásico la Morenita bolsa 500 g.,Morenita,,Desayuno-y-merienda,https://www.carrefour.com.ar/cafe-molido-clasico-la-morenita-bolsa-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/324306/7790170902008_01.jpg?v=1771590303,681611,56632,1475.0,1475.0
Galletitas Pepitos con chips de chocolate x3 119 g.,Pepitos,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-pepitos-con-chips-de-chocolate-x3-119-g-715954/p,https://carrefourar.vtexassets.com/arquivos/ids/314401/7622201735883_E01.jpg?v=1771609028,715954,126391,831.0,831.0
Oblea Arcor turrón y maní 25 g.,Arcor,,Desayuno-y-merienda,https://www.carrefour.com.ar/oblea-arcor-turron-y-mani-25-g/p,https://carrefourar.vtexassets.com/arquivos/ids/193585/0000077940131_01.jpg?v=1771609026,205567,12471,67.1,67.1
Mermelada Arcor de damasco 454 g.,Arcor,,Desayuno-y-merienda,https://www.carrefour.com.ar/mermelada-arcor-de-damasco-454-g-684410/p,https://carrefourar.vtexassets.com/arquivos/ids/230914/7790580132170_02.jpg?v=1771608187,684410,84178,391.09,391.09
Mate cocido saquitos diamantados Unión x 50 uni,Unión,,Desayuno-y-merienda,https://www.carrefour.com.ar/mate-cocido-saquitos-diamantados-union-x-50-uni/p,https://carrefourar.vtexassets.com/arquivos/ids/328102/7790387800098_02.jpg?v=1771609330,677232,43491,310.0,310.0
Café molido La Planta de Café Cabrales 250 g.,Cabrales,,Desayuno-y-merienda,https://www.carrefour.com.ar/cafe-molido-la-planta-de-cafe-cabrales-250-g/p,https://carrefourar.vtexassets.com/arquivos/ids/172586/7790550000157_03.jpg?v=1771593409,41597,8474,699.2,699.2
Galletitas pepas 9 de Oro con membrillo natural 200 g.,9 De Oro,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-pepas-9-de-oro-con-membrillo-natural-200-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175680/7792180009487_02.jpg?v=1771604174,620040,8185,202.0,202.0
Chocolate taza 60 cacao Bonafide 100 g.,Bonafide,,Desayuno-y-merienda,https://www.carrefour.com.ar/chocolate-taza-60-cacao-bonafide-100-g/p,https://carrefourar.vtexassets.com/arquivos/ids/200566/7792360094319_02.jpg?v=1771604176,679297,50328,389.0,389.0
Galletitas Rumba chocolate rellenas vainilla 108 g.,Rumba,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-rumba-chocolate-rellenas-vainilla-108-g-704901/p,https://carrefourar.vtexassets.com/arquivos/ids/319013/7790040139268_E01.jpg?v=1771605944,704901,100969,200.5,200.5
Alfajor Tofi negro 46 g.,Tofi,,Desayuno-y-merienda,https://www.carrefour.com.ar/alfajor-tofi-negro-46-g/p,https://carrefourar.vtexassets.com/arquivos/ids/318892/7790040116610_E01.jpg?v=1771609654,627710,27041,130.0,130.0
Yerba mate Rosamonte especial 1 kg.,Rosamonte,,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-rosamonte-especial-1-kg/p,https://carrefourar.vtexassets.com/arquivos/ids/228097/7790411000012_02.jpg?v=1771609332,131119,61259,1060.0,1060.0
Galletitas Carrefour azucaradas 250 g.,Carrefour,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_galletitas.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-carrefour-azucaradas-250-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175939/7798141715565_01.jpg?v=1771608099,492526,13235,177.5,177.5
Galletitas de vainillas Merengadas rellenas de frutilla 88 g.,Merengadas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-de-vainillas-merengadas-rellenas-de-frutilla-88-g-716912/p,https://carrefourar.vtexassets.com/arquivos/ids/319011/7790040139657_E01.jpg?v=1771608976,716912,127229,179.56,179.56
Galletitas vainilla Porteñitas 139 g.,Porteñitas,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-vainilla-portenitas-139-g/p,https://carrefourar.vtexassets.com/arquivos/ids/196274/7790040132689_02.jpg?v=1771608102,675030,40481,220.5,220.5
Galletitas delce Oreo rellenas de crema sabor vainilla 354 g.,Oreo,"Esta es una señal para frenar y agregar tus Oreo al carrito. Celebrá la diversión con tus galletitas rellenas favoritas. Para el desayuno, para merendar en familia, para snackear en el recreo del colegio o en la facultad, para compartir con amigos, o para ese antojo dulce por la noche, elegí las galletitas dulces que más te gustan. ¿Sos fan de la cocina? Galletiteá tus recetas con Oreo y prepará la recetoreo ganadora que nos une. ¡Aprovechá las ofertas exclusivas semanales para completar tu carrito con tus OREO al mejor precio! Comprá online y recibilo en casa. 
Para mayor información, consultá las calorías y Tabla Nutricional al dorso del empaque.",Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-dulce-oreo-rellenas-de-crema-sabor-vainilla354-g-680265/p,https://carrefourar.vtexassets.com/arquivos/ids/272163/7622201806538_E01.jpg?v=1771592557,680265,53189,721.0,721.0
Galletas de arroz Dos Hermanos slim salada 100 g.,Dos Hermanos,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletas-de-arroz-dos-hermanos-slim-salada-100-g/p,https://carrefourar.vtexassets.com/arquivos/ids/176672/7790503198696_02_1.jpg?v=1771609469,623145,8618,142.5,142.5
Galletitas Amor vainilla rellenas frutilla 108 g. x 3 uni,Amor,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletitas-amor-vainilla-rellenas-frutilla-108-g-x-3-uni-704904/p,https://carrefourar.vtexassets.com/arquivos/ids/318959/7790040139299_E01.jpg?v=1771609580,704904,100904,558.0,558.0
Barrita de cereal Carrefour frutilla 6 u.,Carrefour,,Desayuno-y-merienda,https://www.carrefour.com.ar/barrita-de-cereal-carrefour-frutilla-6-u/p,https://carrefourar.vtexassets.com/arquivos/ids/171278/7798141714162_01.jpg?v=1771589183,442735,24904,637.0,637.0
Azúcar tipo A La Providencia 1 kg.,La Providencia,,Desayuno-y-merienda,https://www.carrefour.com.ar/azucar-tipo-a-la-providencia-1-kg-694116/p,https://carrefourar.vtexassets.com/arquivos/ids/235119/7798141971381_02.jpg?v=1771605998,694116,86545,290.0,290.0
Galletas de arroz Dos Hermanos slim dulce 100 g.,Dos Hermanos,,Desayuno-y-merienda,https://www.carrefour.com.ar/galletas-de-arroz-dos-hermanos-slim-dulce-100-g/p,https://carrefourar.vtexassets.com/arquivos/ids/176676/7790503198702_02_1.jpg?v=1771609466,623146,10011,142.5,142.5
Mermelada BC La Campagnola arándano 390 g.,La Campagnola,,Desayuno-y-merienda,https://www.carrefour.com.ar/mermelada-bc-la-campagnola-arandano-390-g/p,https://carrefourar.vtexassets.com/arquivos/ids/226414/7793360131561_02.jpg?v=1771608886,688363,81510,830.0,830.0
Chocolate para taza Carrefour 100 g.,Carrefour,,Desayuno-y-merienda,https://www.carrefour.com.ar/chocolate-para-taza-carrefour-100-g/p,https://carrefourar.vtexassets.com/arquivos/ids/172319/7798159715823_01.jpg?v=1771598749,576043,21988,263.65,263.65
Yerba mate Amanda 500 g.,Amanda,,Desayuno-y-merienda,https://www.carrefour.com.ar/yerba-mate-amanda-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/183792/7792710000182_02.jpg?v=1771609402,544972,3163,441.0,441.0
Mate cocido saquitos diamantados Taragüi x 50 uni,Taragui,,Desayuno-y-merienda,https://www.carrefour.com.ar/mate-cocido-saquitos-diamantados-taragui-x-50-uni/p,https://carrefourar.vtexassets.com/arquivos/ids/328091/7790387800067_02.jpg?v=1771598680,677230,43587,403.0,403.0
Chocolate Shot con maní 35 g.,Shot,"Para los amantes del chocolate con maní, llegó el clásico chocolate SHOT en su versión Alfajor Triple de 60g. ¡Aprovechá las ofertas en chocolates y golosinas y stockeá tu alacena! Alfajor SHOT: un clásico de los argentinos para compartir o regalar, que no puede faltar en tu casa. ¡No te olvides de agregarlo al carrito!",Desayuno-y-merienda,https://www.carrefour.com.ar/chocolate-shot-con-mani-35-g-42840-42840/p,https://carrefourar.vtexassets.com/arquivos/ids/273381/77914217_E01.jpg?v=1771604157,532502,3502,185.5,185.5
Tostadas de arroz Carrefour clásicas 150 g. sin TACC,Carrefour,"Si creés que podés ser celíaco/a, consultá a tu médico/a. Si tu diagnóstico es la celiaquía, llevá una dieta libre de gluten.",Desayuno-y-merienda,https://www.carrefour.com.ar/tostadas-de-arroz-carrefour-clasicas-150-g-sin-tacc/p,https://carrefourar.vtexassets.com/arquivos/ids/183070/7791720004005_01.jpg?v=1771607454,621862,16793,212.1,212.1
Té Taragui filtro diamantado x 25 uni,Taragui,,Desayuno-y-merienda,https://www.carrefour.com.ar/te-taragui-filtro-diamantado-x-25-uni-694892/p,https://carrefourar.vtexassets.com/arquivos/ids/328117/7790387800135_02.jpg?v=1771603574,694892,88540,140.5,140.5
