fecha_relevamiento|producto|marca|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
20230527-190544|Jabon liquido balance Plusbelle 250 cc.|Plusbelle|Perfumeria|https://www.carrefour.com.ar/jabon-liquido-balance-plusbelle-250-cc/p|681781|56638|353.0|353.0
20230527-190544|Tratamiento capilar Capilatis argán natural oil 170 g.|Capilatis|Perfumeria|https://www.carrefour.com.ar/tratamiento-capilar-capilatis-argan-natural-oil-170-g/p|632488|22950|818.0|818.0
20230527-190544|Desodorante para hombre Axe collision en aerosol 150 ml.|Axe|Perfumeria|https://www.carrefour.com.ar/desodorante-para-hombre-axe-collision-en-aerosol-150-ml-699115/p|699115|93832|578.0|578.0
20230527-190544|Tratamiento Issue extra reparación 25 g.|Issue|Perfumeria|https://www.carrefour.com.ar/tratamiento-issue-extra-reparacion-25-g-716184/p|716184|126657|74.85|74.85
20230527-190544|Jabón en barra antibacterial Rexona aloe vera 90 g.|Rexona|Perfumeria|https://www.carrefour.com.ar/jabon-en-barra-antibacterial-rexona-aloe-vera-90-g-691393/p|691393|84710|197.0|197.0
20230527-190544|Gel fijador Carrefour fuerte 140 g.|Carrefour|Perfumeria|https://www.carrefour.com.ar/gel-fijador-carrefour-fuerte-140-g/p|382780|22945|296.0|296.0
20230527-190544|Cepillo dental Oral B indicator classic x 1 uni|Oral B|Perfumeria|https://www.carrefour.com.ar/cepillo-dental-oral-b-indicator-classic-x-1-uni-696483/p|696483|90153|406.92|406.92
20230527-190544|Polvo desodorante para pies Algabo talquera 200 g.|Algabo|Perfumeria|https://www.carrefour.com.ar/polvo-desodorante-para-pies-algabo-talquera-200-g/p|377353|4371|503.3|503.3
20230527-190544|Toallitas femeninas 2 en 1 Kotex 8 u.|Kotex|Perfumeria|https://www.carrefour.com.ar/toallitas-femeninas-2-en-1-kotex-8-u/p|668182|20446|267.47|267.47
20230527-190544|Enjuague Bucal Colgate  Plax Ice 250 ml|Colgate|Perfumeria|https://www.carrefour.com.ar/enjuague-bucal-colgate-plax-ice-250-ml-415086/p|415086|21000|606.22|606.22
20230527-190544|Shampoo Algabo refrescante détox doypack 300 cc.|Algabo|Perfumeria|https://www.carrefour.com.ar/shampoo-algabo-refrescante-detox-doypack-300-cc-684312/p|684312|101016|180.2|180.2
20230527-190544|Protector diario Kotex cuidado avanzado 60 uni|Kotex|Perfumeria|https://www.carrefour.com.ar/protector-diario-kotex-cuidado-avanzado-60-uni-689145/p|689145|82618|1275.0|1275.0
20230527-190544|Gel fijador Roby normal 150 g.|Roby|Perfumeria|https://www.carrefour.com.ar/gel-fijador-roby-normal-150-g/p|621852|6839|328.0|328.0
20230527-190544|Shampoo Carrefour ceramidas fortalecedor 950 cc.|Carrefour|Perfumeria|https://www.carrefour.com.ar/shampoo-carrefour-ceramidas-fortalecedor-950-cc/p|552405|19187|376.82|376.82
20230527-190544|Shampoo Elvive arcilla purificante 750 cc.|Elvive|Perfumeria|https://www.carrefour.com.ar/shampoo-elvive-arcilla-purificante-750-cc-694717/p|694717|88864|1535.0|1535.0
20230527-190544|Shampoo Head &amp; Shoulders suave y manejable 375 cc.|Head &amp; Shoulders|Perfumeria|https://www.carrefour.com.ar/shampoo-head-y-shoulders-suave-y-manejable-375-cc-712789/p|712789|118429|998.0|998.0
20230527-190544|Crema facial 5 en 1 Nivea cuidado antiarrugas para todo tipo de piel 100 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-facial-5-en-1-nivea-cuidado-antiarrugas-para-todo-tipo-de-piel-100-ml/p|666172|92119|859.0|859.0
20230527-190544|Jabón Plusbelle de energía reconexión 125 g.|Plusbelle|Perfumeria|https://www.carrefour.com.ar/jabon-plusbelle-de-energia-reconexion-125-g-698459/p|698459|92173|221.0|221.0
20230527-190544|Polvo pédico Algabo 100 g.|Algabo|Perfumeria|https://www.carrefour.com.ar/polvo-pedico-algabo-100-g/p|408425|6965|304.3|304.3
20230527-190544|Jabón Líquido Palmolive Luminous Oils Avocado 250 ml|Palmolive|Perfumeria|https://www.carrefour.com.ar/jabon-liquido-palmolive-luminous-oils-avocado-250-ml-677541/p|677541|44417|564.8|564.8
20230527-190544|Acondicionador Carrefour proteínas de trigo nutrición 950 cc.|Carrefour|Perfumeria|https://www.carrefour.com.ar/acondicionador-carrefour-proteinas-de-trigo-nutricion-950-cc/p|552414|13497|376.82|376.82
20230527-190544|Toallas femeninas Siempre libre adapt plus noche y dia 32 uni|Siempre Libre|Perfumeria|https://www.carrefour.com.ar/toallas-femeninas-siempre-libre-adapt-plus-noche-y-dia-32-uni-703787/p|703787|99077|1259.3|1259.3
20230527-190544|Acondicionador Elvive keraliso sedosidad 200 cc.|Elvive|Perfumeria|https://www.carrefour.com.ar/acondicionador-elvive-keraliso-sedosidad-200-cc-702728/p|702728|98222|666.0|666.0
20230527-190544|Toallas femeninas Siempre Libre adapt plus con alas x 8 uni|Siempre Libre|Perfumeria|https://www.carrefour.com.ar/toallas-femeninas-siempre-libre-adapt-plus-con-alas-x-8-uni-690554/p|690554|83858|415.0|415.0
20230527-190544|Jabón antibacterial exfoliante Espadol 3 80 g.|Espadol|Perfumeria|https://www.carrefour.com.ar/jabon-antibacterial-exfoliante-espadol-3-80-g-42782/p|673215|36756|520.0|520.0
